title,publication_date,source,country,summary,url,language,sentiment
The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,2025-05-30 18:55:17,Custom Feed,Custom,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",https://www.cnn.com/style/article/beauty-skincare-climate/index.html,en,positive
A new approach to a Covid-19 nasal vaccine shows early promise,2025-05-30 18:55:17,Custom Feed,Custom,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,en,neutral
Video shows moment man throws yogurt on two women in Iran,2025-05-30 18:55:17,Custom Feed,Custom,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,en,negative
"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating",2025-05-30 18:55:17,Custom Feed,Custom,"In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,en,neutral
Erdogan's political fate may be determined by Turkey's Kurds,2025-05-30 18:55:17,Custom Feed,Custom,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html,en,positive
Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,2025-05-30 18:55:17,Custom Feed,Custom,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html,en,positive
Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,2025-05-30 18:55:17,Custom Feed,Custom,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html,en,positive
Man rides out tornado inside van. See the footage,2025-05-30 18:55:17,Custom Feed,Custom,"Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.",https://www.cnn.com/videos/weather/2023/04/02/little-rock-arkansas-tornado-man-inside-van-cnntmw-vpx.cnn,en,negative
"China Renaissance suspends trading, delays results after founder's disappearance",2025-05-30 18:55:17,Custom Feed,Custom,"China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html,en,negative
HSBC's top execs face tense shareholders calling for a breakup,2025-05-30 18:55:17,Custom Feed,Custom,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html,en,negative
Lawmaker speaks out about his struggle with depression,2025-05-30 18:55:17,Custom Feed,Custom,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn,en,negative
CEOs are tired of being held responsible for gun regulation,2025-05-30 18:55:17,Custom Feed,Custom,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html,en,neutral
What pet cemeteries reveal about being human,2025-05-30 18:55:17,Custom Feed,Custom,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html,en,positive
Scientists film deepest ever fish on seabed off Japan,2025-05-30 18:55:17,Custom Feed,Custom,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html,en,neutral
What OPEC's surprise oil cut means for gas prices,2025-05-30 18:55:17,Custom Feed,Custom,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html,en,neutral
Palestinian taxi driver recounts surviving attack by right-wing protesters,2025-05-30 18:55:17,Custom Feed,Custom,A Palestinian taxi driver describes surviving a violent attack by a right-wing mob in Jerusalem earlier this week as Israel continues to see protests against Prime Minister Benjamin Netanyahu's judicial overhaul spread. CNN's Nic Robertson reports.,https://www.cnn.com/videos/world/2023/03/31/israel-protests-rise-taxi-driver-attacked-robertson-pkg-intl-vpx.cnn,en,negative
Giving Marjorie Taylor Greene a platform isn't good for America,2025-05-30 18:55:17,Custom Feed,Custom,"Last year, GOP Rep. Marjorie Taylor Greene of Georgia spoke at a white nationalist event organized by Holocaust denier Nick Fuentes that caused Republican leaders to denounce her.",https://www.cnn.com/2023/04/03/opinions/60-minutes-marjorie-taylor-greene-interview-obeidallah/index.html,en,negative
These are the animals people most want to see photographed,2025-05-30 18:55:17,Custom Feed,Custom,"Originally a term used by trophy hunters in Africa, the ""Big Five"" described the animals most challenging to shoot and kill: the lion, elephant, leopard, rhino, and buffalo. Nowadays, it is more loosely used to refer to some of Africa's largest and most iconic animals.",https://www.cnn.com/travel/article/new-big-5-wildlife-photography-book-c2e-scn-spc-intl/index.html,en,negative
"Syrian refugee elected mayor of German town, years after fleeing war",2025-05-30 18:55:17,Custom Feed,Custom,A Syrian who arrived in Germany as a refugee in 2015 has won a mayoral election in the southwestern German state of Baden-Württemberg.,https://www.cnn.com/2023/04/04/europe/germany-mayor-syrian-refugee-intl/index.html,en,positive
"Study finds slightly higher risk of autism diagnosis in areas with more lithium in drinking water, but experts say more research is needed",2025-05-30 18:55:17,Custom Feed,Custom,"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",https://www.cnn.com/2023/04/03/health/autism-lithium-study/index.html,en,negative
"Kwame Brathwaite, photographer of 'Black is Beautiful' movement, dies at 85",2025-05-30 18:55:17,Custom Feed,Custom,"Kwame Brathwaite, the pioneering activist and photographer whose work helped define the aesthetics of the ""Black is Beautiful"" movement of the 1960s and beyond, died on April 1, aged 85.",https://www.cnn.com/style/article/kwame-brathwaite-obituary-tan/index.html,en,positive
This boiled bag of offal is banned in the US. In Scotland it's a fine-dining treat,2025-05-30 18:55:17,Custom Feed,Custom,"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland's national dish, with its ""sinister sheep parts"" wrapped in a shroud of mystery and half-invented history, could be a hard sell.",https://www.cnn.com/travel/article/haggis-scotland-secrets/index.html,en,positive
Musk's Twitter promised a purge of blue check marks. Instead he singled out the New York Times,2025-05-30 18:55:17,Custom Feed,Custom,"Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.",https://www.cnn.com/2023/04/03/tech/twitter-blue-checks/index.html,en,negative
See the world's deepest fish,2025-05-30 18:55:17,Custom Feed,Custom,"Scientists captured the unknown snailfish species at a depth of more than 27,000 feet, as part of an expedition in trenches off Japan.",https://www.cnn.com/videos/travel/2023/04/03/snailfish-deepest-fish-on-camera-lon-orig-ao-cprog-scn.cnn,en,neutral
Emma Heming Willis shares family photos as daughter Mabel turns 11,2025-05-30 18:55:17,Custom Feed,Custom,"Bruce Willis' wife, Emma Heming Willis, has celebrated their elder daughter's birthday with a trip down memory lane.",https://www.cnn.com/2023/04/03/entertainment/emma-willis-mabel-birthday-photos-intl-scli/index.html,en,positive
Some fans whistle as Lionel Messi's name is announced as Paris Saint-Germain's season hits new low,2025-05-30 18:55:17,Custom Feed,Custom,Paris Saint-Germain's miserable season went from bad to worse on Sunday as the team suffered a second straight home defeat with a 1-0 loss to Lyon.,https://www.cnn.com/2023/04/03/football/lionel-messi-psg-whistles-fans-spt-intl/index.html,en,negative
Chelsea searches for new manager as Premier League breaks record for most sackings in a single season,2025-05-30 18:55:17,Custom Feed,Custom,"It was just six months ago that Graham Potter was deemed the man to usher in a fresh, exciting era at Chelsea.",https://www.cnn.com/2023/04/03/football/chelsea-graham-potter-manager-premier-league-spt-intl/index.html,en,positive
See 'Star Wars' legend react to Acosta's Darth Vader impression,2025-05-30 18:55:17,Custom Feed,Custom,"Actor Mark Hamill joins CNN's Jim Acosta to discuss his thoughts about a potential spinoff series based around his legendary ""Star Wars"" character Luke Skywalker.",https://www.cnn.com/videos/media/2023/04/02/mark-hamill-star-wars-jim-acosta-skywalker-cprog-acostanr-vpx.cnn,en,negative
Angel Reese defends gesture directed towards Caitlin Clark after LSU national title win; calls out double standard after being 'unapologetically' her,2025-05-30 18:55:18,Custom Feed,Custom,"LSU star Angel Reese defended the gesture she aimed at Iowa Hawkeyes' Caitlin Clark near the end of the Tigers' first NCAA women's basketball national championship victory on Sunday, saying ""I don't take disrespect lightly.""",https://www.cnn.com/2023/04/03/sport/angel-reese-gesture-caitlin-clark-lsu-iowa-spt-intl/index.html,en,positive
Teenage swimmer breaks two world records in four days,2025-05-30 18:55:18,Custom Feed,Custom,Sixteen-year-old Summer McIntosh broke the world record for the 400m individual medley at the Canadian swimming trials on Saturday -- just days after breaking the world record for the 400m freestyle.,https://www.cnn.com/2023/04/03/sport/summer-mcintosh-world-record-canada-swimmer-spt-intl/index.html,en,negative
The haunting Masters meltdown that changed Rory McIlroy's career,2025-05-30 18:55:18,Custom Feed,Custom,"Slumped on his club, head buried in his arm, Rory McIlroy looked on the verge of tears.",https://www.cnn.com/2023/04/03/golf/rory-mcilroy-masters-meltdown-2011-spt-spc-intl/index.html,en,negative
A snowboarder got buried upside down in snow. See skier's quick reaction.,2025-05-30 18:55:18,Custom Feed,Custom,"Skier Francis Zuber sprang into action when he noticed a snowboarder had become trapped upside down in a tree well. Zuber, whose reaction has been applauded as a textbook example of what to do in such a situation, urged others to take up rescue courses.",https://www.cnn.com/videos/us/2023/03/31/snowboarder-rescue-mt-baker-washington-cprog-lon-orig-na.cnn,en,positive
2023 March Madness: Will UConn or San Diego State triumph in the national championship game that 'means everything?',2025-05-30 18:55:18,Custom Feed,Custom,After a March Madness filled with twists and surprises -- all four No. 1 seeds failed to reach the Elite Eight for the first ever time in NCAA men's basketball tournament history -- it is time for the grand finale as UConn faces San Diego State on Monday for the title.,https://www.cnn.com/2023/04/03/sport/march-madness-championship-game-final-preview-spt-intl/index.html,en,negative
Shania Twain calls for equal pay and more diversity in country music,2025-05-30 18:55:18,Custom Feed,Custom,Shania Twian is standing up for others in country music.,https://www.cnn.com/2023/04/03/entertainment/shania-twain-equal-diversity/index.html,en,neutral
